jerrerson plans on spending 502 dollars on 14 meals and 4 nights in a hotel . CANNOTDISTRIBUTE	NP0 NNS0 IN0 VBG0 NP0 NP1 IN0 NP0 NP1 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
a bricklayer and an electrician together spend 90 hours working on a new house . CANNOTDISTRIBUTE	NP0 NP1 CC0 NP0 NP1 ADVP0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
sandy has 10 books , benny has 24 books , and tim has 33 books . CANNOTDISTRIBUTE	JJ0 VP0 VP1 VP2 ,0 S0 S1 S2 S3 ,0 CC0 S0 S1 S2 S3 .0 CANNOTDISTRIBUTE	sandy has 10 books . benny has 24 books . tim has 33 books .
the johnson farm has 500 acres of land allotted for cultivating corn and wheat . CANNOTDISTRIBUTE	NP0 NP1 NP2 VBZ0 NP0 NP1 IN0 NN0 VBN0 IN0 VBG0 NN0 CC0 NN0 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
a physician 's assistant measures a child and finds that his height is 41 .5 inches . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 VP0 VP1 VP2 CC0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 .0 CANNOTDISTRIBUTE	a physician 's assistant measures a child . a physician 's assistant finds that his height 's 41 .5 inches .
two planes start from chicago at the same time and fly in opposite directions , one averaging a speed of 40 miles per hour greater than the other . CANNOTDISTRIBUTE	NP0 NP1 VBP0 PP0 PP1 PP0 PP1 PP2 PP3 CC0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 VP8 VP9 VP10 VP11 VP12 VP13 VP14 VP15 VP16 VP17 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
a baseball team has home games on wednesday and saturday . CANNOTDISTRIBUTE	NP0 NP1 NP2 VBZ0 NP0 NP1 IN0 NN0 CC0 NN0 .0 CANNOTDISTRIBUTE	a baseball team has home games on wednesday . a baseball team has home games on saturday .
there are 41 crayons and 26 pencils in the drawer . CANNOTDISTRIBUTE	NP0 VBP0 NP0 NP1 CC0 NP0 NP1 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	there are 41 crayons in the drawer . there are 26 pencils in the drawer .
how many adults and children were in the group ? CANNOTDISTRIBUTE	WRB0 JJ0 NNS0 CC0 NNS0 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	how many adults were in the group ? how many children were in the group ?
he spent $ 14 .28 on shorts and $ 4 .74 on a jacket . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 NP2 PP0 PP1 CC0 NP0 NP1 NP2 NP3 NP4 NP5 .0 CANNOTDISTRIBUTE	he spent $14 .28 on shorts . he spent $4 .74 on a jacket .
sara has 792 black and 122 red marbles . CANNOTDISTRIBUTE	NP0 VBZ0 CD0 JJ0 CC0 CD0 JJ0 NNS0 .0 CANNOTDISTRIBUTE	sara has 792 black marbles . sara has 122 red marbles .
the first plan has a 22 dollars monthly fee and charges an additional 0 .13 dollars for each minute of calls . CANNOTDISTRIBUTE	NP0 NP1 NP2 VP0 VP1 VP2 VP3 VP4 VP5 CC0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 VP8 VP9 VP10 .0 CANNOTDISTRIBUTE	the first plan has a 22 dollars monthly fee . the first plan charges an additional 0 .13 dollars for each minute of calls .
you sell 525 tickets and collect 2876 dollars . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 CC0 VP0 VP1 VP2 .0 CANNOTDISTRIBUTE	you sell 525 tickets . you collect 2876 dollars .
how many jumbo pumpkins and regular pumpkins did he sell ? CANNOTDISTRIBUTE	WRB0 JJ0 JJ0 NNS0 CC0 NX0 NX1 SQ0 SQ1 SQ2 .0 CANNOTDISTRIBUTE	how many jumbo pumpkins did he sell ? how many regular pumpkins did he sell ?
admission prices are 6 dollars for adults and 4 dollars for children . CANNOTDISTRIBUTE	NP0 NP1 VBP0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 .0 CANNOTDISTRIBUTE	admission prices are 6 dollars for adults . admission prices are 4 dollars for children .
a woman is paid 20 dollars for each day she works and forfeits 5 dollars for each day she is idle . CANNOTDISTRIBUTE	NP0 NP1 VBZ0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 CC0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 VP8 .0 CANNOTDISTRIBUTE	a woman is paid 20 dollars for each day she works . a woman forfeits 5 dollars for each day she is idle .
alyssa 's cat had 8 kittens and 8 had spots . CANNOTDISTRIBUTE	NP0 NP1 NP2 VP0 VP1 VP2 CC0 S0 S1 S2 .0 CANNOTDISTRIBUTE	alyssa 's cat had 8 kittens . 8 kittens had spots .
the montoya family spends 0 .6 their budget on groceries and another 0 .2 going out to eat . CANNOTDISTRIBUTE	NP0 NP1 NP2 VP0 VP1 VP2 VP3 VP4 VP5 VP6 CC0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 .0 CANNOTDISTRIBUTE	the montoya family spends 0 .6 their budget on groceries . the montoya family spends 0 .2 their budget going out to eat .
at the carnival , tickets for the rides are 0 .75 dollars each , or you can buy an armband for 15 dollars and ride unlimited for one night . CANNOTDISTRIBUTE	PP0 PP1 PP2 ,0 S0 S1 S2 S3 S4 S5 S6 S7 S8 ,0 CC0 NP0 MD0 VB0 DT0 NN0 PP0 PP1 PP2 CC0 VP0 VP1 VP2 VP3 VP4 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
find the cost of one cup of coffee and the cost of one bagel . . CANNOTDISTRIBUTE	VB0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 CC0 NP0 NP1 NP2 NP3 NP4 .0 .0 CANNOTDISTRIBUTE	find the cost of one cup of coffee find the cost of one bagel . .
wal mart sells thermometers for 2 dollars and hot water bottles for 6 dollars . CANNOTDISTRIBUTE	NP0 NP1 VBZ0 NP0 PP0 PP1 PP2 CC0 NP0 NP1 NP2 NP3 NP4 NP5 .0 CANNOTDISTRIBUTE	wal-mart sells thermometers for 2 dollars . wal-mart sells hot-water bottles for 6 dollars .
tickets are 28 dollars for adults and 12 dollars for kids . CANNOTDISTRIBUTE	NP0 VBP0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 .0 CANNOTDISTRIBUTE	tickets are 28 dollars for adults . tickets are 12 dollars for kids .
how many student tickets did you sell , and how many general admission tickets did you sell ? CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 ,0 CC0 SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 .0 CANNOTDISTRIBUTE	how many student tickets did you sell ? how many general admission tickets did you sell ?
in a given week , the first car gets an average of 25 miles per gallon , and the second car gets 40 miles per gallon . CANNOTDISTRIBUTE	PP0 PP1 PP2 PP3 ,0 S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 ,0 CC0 S0 S1 S2 S3 S4 S5 S6 S7 .0 CANNOTDISTRIBUTE	in a given week , the first car gets an average of 25 miles per gallon . in a given week , the second car gets 40 miles per gallon .
there are 120 in the whole group and there are twice as many children as adults in the group . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 CC0 S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 .0 CANNOTDISTRIBUTE	there are 120 in the whole group . there are twice as many children as adults in the group .
if the bricklayer earns 12 dollars per hour , the electrician earns 16 dollars an hour , and the owner pays them a total of 1350 dollars for their work , how many hours does the bricklayer work ? how many hours does the electrician work ? CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 ,0 S0 S1 S2 S3 S4 S5 S6 ,0 CC0 S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 ,0 SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 .0 WHNP0 WHNP1 WHNP2 SQ0 SQ1 SQ2 SQ3 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
hockey teams receive 2 points for a win and 1 point for a tie . CANNOTDISTRIBUTE	NP0 NP1 VBP0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	hockey teams receive 2 points for a win . hockey teams receive 1 points for a tie .
how many milliliters of the 25 % solution and 50 % solution should she mix to make 1000 milliliters of a 45 % solution ? CANNOTDISTRIBUTE	WHNP0 WHNP1 WHNP2 IN0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 SQ0 SQ1 SQ2 SQ3 SQ4 SQ5 SQ6 SQ7 SQ8 SQ9 SQ10 SQ11 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
a restaurant served 6 cakes during lunch and 9 during dinner today . CANNOTDISTRIBUTE	NP0 NP1 VBD0 NP0 NP1 PP0 PP1 CC0 NP0 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	a restaurant served 6 cakes during lunch today . a restaurant served 9 cakes during dinner today .
you sell 525 tickets and collect 2876 dollars . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 CC0 VP0 VP1 VP2 .0 CANNOTDISTRIBUTE	you sell 525 tickets . you collect 2876 dollars .
he went to the orchard and picked peaches to stock up . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 VP3 CC0 VP0 VP1 VP2 VP3 VP4 .0 CANNOTDISTRIBUTE	he went to the orchard . he went to the orchard and picked peaches to stock up .
a construction company bought 5 .91 tons of gravel and 8 .11 tons of sand . CANNOTDISTRIBUTE	NP0 NP1 NP2 VBD0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 IN0 NN0 .0 CANNOTDISTRIBUTE	a construction company bought 5 .91 tons of gravel . a construction company bought 8 .11 tons of sand .
there are two strengths of white vinegar , a 5 % solution and a 10 % solution . CANNOTDISTRIBUTE	NP0 VBP0 NP0 NP1 NP2 NP3 NP4 ,0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
a scientist let the bacteria grow and now there are 8917 of them . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 CC0 S0 S1 S2 S3 S4 S5 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
freeport mcmoran projects that in 2010 the world grain supply will be 1800000 metric tons and the supply will be only 0 .75 of the world grain demand . CANNOTDISTRIBUTE	NP0 NP1 NNS0 WDT0 S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 CC0 NP0 NP1 MD0 VB0 NP0 NP1 NP2 IN0 DT0 NN0 NN0 NN0 .0 CANNOTDISTRIBUTE	freeport mcmoran projects that in 2010 the world grain supply will be 1800000 metric tons . freeport mcmoran projects that in 2010 the supply will be only 0 .75 of the world grain demand .
each unit of grain a contains 2 grams of fat and 80 calories , and unit b has 3 grams of fat and 60 calories . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 NP4 VBZ0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 ,0 CC0 NP0 NP1 VBZ0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 .0 CANNOTDISTRIBUTE	each unit of grain a contains 2 grams of fat . each unit of grain a contains 80 calories . each unit of grain b has 3 grams of fat . each unit of grain b has 60 calories .
how many wins and ties did the team have ? CANNOTDISTRIBUTE	WRB0 JJ0 NNS0 CC0 NNS0 SQ0 SQ1 SQ2 SQ3 .0 CANNOTDISTRIBUTE	how many wins did the team have ? how many ties did the team have ?
what amount of peanuts and what amount of cashews must be used ? CANNOTDISTRIBUTE	NP0 NP1 PP0 PP1 CC0 SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 .0 CANNOTDISTRIBUTE	what amount of peanuts must be used ? what amount of cashews must be used ?
a theater sells children 's tickets for 4 dollars and adult tickets for 7 dollars . CANNOTDISTRIBUTE	NP0 NP1 VBZ0 NP0 NP1 NP2 NP3 NP4 NP5 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	a theater sells children 's tickets for 4 dollars . a theater sells adult tickets for 7 dollars .
she paid her bill with 5 dollar notes and 20 dollar notes using a total of 13 notes . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 IN0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 VP0 VP1 VP2 VP3 VP4 VP5 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
at a pizza party , mason and his friends drank 2 .6666666666666665 bottles of lemon lime soda and 2 .6666666666666665 bottles of cola . CANNOTDISTRIBUTE	PP0 PP1 PP2 PP3 ,0 NP0 CC0 NP0 NP1 VBD0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	at a pizza party , mason and his friends drank 2 .6666666666666665 bottles of lemon-lime soda . at a pizza party , mason and his friends drank 2 .6666666666666665 bottles of cola .
there are 2 point and 4 point questions on the test . CANNOTDISTRIBUTE	NP0 VBP0 CD0 NN0 CC0 CD0 NN0 NNS0 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	there are 2 point questions on the test . there are 4 point questions on the test .
tim found 679 seashells and 110 starfish on the beach . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 CC0 NP0 NP1 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	tim found 679 seashells on the beach . tim found 110 starfish on the beach .
if the company ordered a total of 2992 forks , how many adults and how many children will be attending the event ? CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 SBAR8 ,0 WHNP0 WHNP1 WHNP2 CC0 WHNP0 WHNP1 WHNP2 S0 S1 S2 S3 S4 .0 CANNOTDISTRIBUTE	if the company ordered a total of 2992 forks , how many adults will be attending the event ? if the company ordered a total of 2992 forks , how many children will be attending the event ?
the fault line moved 1 .25 inches during the past year and 5 .25 inches the year before . CANNOTDISTRIBUTE	NP0 NP1 NP2 VBD0 NP0 NP1 NP2 PP0 PP1 PP2 PP3 CC0 NP0 NP1 NP2 NP3 NP4 NP5 .0 CANNOTDISTRIBUTE	the fault line moved 1 .25 inches during the past year . the fault line moved 5 .25 inches the year before .
the piece of iron weighed 11 .166666666666666 pounds and the piece of aluminum weighed 0 .8333333333333334 pound . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 S7 CC0 S0 S1 S2 S3 S4 S5 S6 S7 .0 CANNOTDISTRIBUTE	the piece of iron weighed 11 .166666666666666 pounds . the piece of aluminum weighed 0 .8333333333333334 pounds .
john 's photo world charges 2 .75 dollars per sheet and a one time sitting fee of 125 dollars . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 VBZ0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 .0 CANNOTDISTRIBUTE	john 's photo world charges 2 .75 dollars per sheet . john 's photo world charges a one time sitting fee of 125 dollars .
you sell tickets for admission to your school play and collect a total of 104 dollars . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 CC0 VP0 VP1 VP2 VP3 VP4 VP5 .0 CANNOTDISTRIBUTE	you sell tickets for admission to your school play . you collect a total of 104 dollars .
old mcdonald has 15 goats and chickens on his farm . CANNOTDISTRIBUTE	NP0 NP1 VBZ0 CD0 NNS0 CC0 NNS0 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
joan grew 29 carrots and 14 watermelons . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 CC0 NP0 NP1 .0 CANNOTDISTRIBUTE	joan grew 29 carrots . joan grew 14 watermelons .
the willey farm collective , farmed by several branches of the willeys , has 4500 acres of land available for raising corn and wheat . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 NP8 NP9 NP10 NP11 NP12 VBZ0 NP0 NP1 IN0 NN0 JJ0 IN0 VBG0 NN0 CC0 NN0 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
alyssa picked 42 pears and nancy picked 17 pears from the pear tree . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 CC0 NP0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 .0 CANNOTDISTRIBUTE	alyssa picked 42 pears from the pears tree . nancy picked 17 pears from the pears tree .
the difference between 0 .75 of a line and 0 .4 of the same line is 28 centimeters . CANNOTDISTRIBUTE	NP0 NP1 IN0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 NP5 VP0 VP1 VP2 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
fred has 5 yellow balloons , sam has 6 yellow balloons , and mary has 7 yellow balloons . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 ,0 S0 S1 S2 S3 S4 ,0 CC0 S0 S1 S2 S3 S4 .0 CANNOTDISTRIBUTE	fred has 5 yellow balloons . sam has 6 yellow balloons . mary has 7 yellow balloons .
tickets at a local theater cost 6 dollars for adults and 2 dollars dollars for kids under twelve . CANNOTDISTRIBUTE	NP0 PP0 PP1 PP2 PP3 VBD0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 .0 CANNOTDISTRIBUTE	tickets at a local theater cost 6 dollars for adults . tickets at a local theater cost 2 dollars for kids under twelve .
dale 's vegetarian restaurant bought 2 .8333333333333335 pounds of green peppers and 2 .8333333333333335 pounds of red peppers . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 VBD0 NP0 NP1 NP2 NP3 NP4 NP5 CC0 NP0 NP1 NP2 NP3 NP4 NP5 .0 CANNOTDISTRIBUTE	dale 's vegetarian restaurant bought 2 .8333333333333335 pounds of green peppers . dale 's vegetarian restaurant bought 2 .8333333333333335 pounds of red peppers .
tickets for a concert were priced at 7 dollars for students and 10 dollars for non students . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 VBD0 VBN0 PP0 PP1 PP2 PP3 PP4 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	tickets for a concert were priced at 7 dollars for students . tickets for a concert were priced at 10 dollars for non-students .
how many children and adults went to the film premiere ? CANNOTDISTRIBUTE	WRB0 JJ0 NNS0 CC0 NNS0 VP0 VP1 VP2 VP3 VP4 .0 CANNOTDISTRIBUTE	how many children went to the film premiere ? how many adults went to the film premiere ?
mrs .martin bought 3 cups of coffee and 2 bagels and spent 12 .75 dollars . CANNOTDISTRIBUTE	NP0 .0 VBD0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 CC0 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	mrs .martin bought 3 cups of coffee . mrs .martin bought 2 bagels . mrs .martin spent 12 .75 dollars .
how many student tickets did you sell , and how many general admission tickets did you sell ? CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 ,0 CC0 SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 .0 CANNOTDISTRIBUTE	how many student tickets did you sell ? how many general admission tickets did you sell ?
the first car has consumed 40 gallons during that week , and the second car has consumed 20 gallons , for a total of 1400 miles driven by the two cars combined . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 ,0 CC0 S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
in how many weeks will jim and sara have saved the same amount ? CANNOTDISTRIBUTE	WHPP0 WHPP1 WHPP2 WHPP3 MD0 VB0 CC0 NNS0 VP0 VP1 VP2 VP3 VP4 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
if 500 cups were sold for a total of 2090 dollars , how many plastic cups and ceramic cups were sold ? CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 SBAR8 SBAR9 SBAR10 ,0 WRB0 JJ0 NN0 NNS0 CC0 NX0 NX1 VP0 VP1 .0 CANNOTDISTRIBUTE	if 500 cups were sold for a total of 2090 dollars , how many plastic cups were sold ? if 500 cups were sold for a total of 2090 dollars , how many ceramic cups were sold ?
there are 3 more girls than boys in tom 's class , and the sum of girls and boys is 41 . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 ,0 CC0 NP0 NP1 IN0 NNS0 CC0 NNS0 VP0 VP1 .0 CANNOTDISTRIBUTE	there are 3 more girls than boys in tom 's class . the sum of girls and boys in tom 's class are 41 .
he and his cousin together have a total of 5816 points . CANNOTDISTRIBUTE	NP0 CC0 NP0 NP1 ADVP0 VP0 VP1 VP2 VP3 VP4 VP5 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
how much does a bag of bagels and a package of cream cheese cost , in dollars ? CANNOTDISTRIBUTE	WHNP0 WHNP1 VBZ0 NP0 NP1 PP0 PP1 CC0 NP0 NP1 NP2 NP3 NP4 NN0 ,0 PP0 PP1 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
senior citizen tickets cost 10 dollars and regular tickets cost 15 dollars . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 CC0 S0 S1 S2 S3 S4 .0 CANNOTDISTRIBUTE	senior citizen tickets cost 10 dollars . regular tickets cost 15 dollars .
how many baseball and football cards does he have ? CANNOTDISTRIBUTE	WRB0 JJ0 NN0 CC0 NN0 NNS0 SQ0 SQ1 SQ2 .0 CANNOTDISTRIBUTE	how many baseball cards does he have ? how many football cards does he have ?
tickets cost 21 dollars per adult and 15 dollars per senior citizen . CANNOTDISTRIBUTE	NP0 VBP0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	tickets cost 21 dollars per adult . tickets cost 15 dollars per senior citizen .
sara and jim both decided to save some money each week . CANNOTDISTRIBUTE	NNP0 CC0 NNP0 NP0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 .0 CANNOTDISTRIBUTE	sara decided to save some money each week . jim decided to save some money each week .
mike had 33 quarters and 87 nickels in his bank . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 CC0 NP0 NP1 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	mike had 33 quarters in his bank . mike had 87 nickels in his bank .
a chemist has a solution that is 18 % alcohol and one that is 50 % alcohol . CANNOTDISTRIBUTE	NP0 NP1 VBZ0 NP0 NP1 WHNP0 VBZ0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 NP3 NP4 NP5 .0 CANNOTDISTRIBUTE	a chemist has a solution that is 18 % alcohol . a chemist has a solution that is 50 % alcohol .
they charged 7 dollars for adults and 5 dollars for children . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 .0 CANNOTDISTRIBUTE	they charged 7 dollars for adults . they charged 5 dollars for children .
trinidad has 2 .35 dollars in nickels and dimes . CANNOTDISTRIBUTE	NP0 VBZ0 NP0 NP1 NP2 IN0 NNS0 CC0 NNS0 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
if tickets for balcony seats will cost 15 dollars less than tickets for main level seats , what should the prices be for the main level seats and prices for the balcony seats , so that the total revenue from a sellout performance will be 84,500 ? CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 SBAR8 SBAR9 SBAR10 SBAR11 SBAR12 SBAR13 SBAR14 SBAR15 ,0 WHNP0 MD0 NP0 NP1 VB0 IN0 DT0 JJ0 NN0 NNS0 CC0 NNS0 PP0 PP1 PP2 PP3 ,0 SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 SBAR8 SBAR9 SBAR10 SBAR11 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
dan had 7 potatoes and 4 cantelopes in the garden . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 CC0 NP0 NP1 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	dan had 7 potatoes in the garden . dan had 4 cantelopes in the garden .
there are 2 maple trees and 5 popular trees currently in the park . CANNOTDISTRIBUTE	NP0 VBP0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 PP0 PP1 PP2 PP3 .0 CANNOTDISTRIBUTE	there are 2 maple trees currently in the park . there are 5 popular trees currently in the park .
during december , they buy 6444 , and there are none . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 ,0 CC0 S0 S1 S2 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
a box of peppermint cost 1 .00 dollars a box and candy canes cost 1 .30 dollars a box . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 NP8 NP9 CC0 NN0 NNS0 VP0 VP1 VP2 VP3 VP4 VP5 .0 CANNOTDISTRIBUTE	a box of peppermint cost 1 .00 dollars a box a box of candy canes cost 1 .30 dollars a box .
tickets for a play at the community theater cost 12 dollars for an adult and 4 dollars for a child . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 VBD0 NP0 NP1 NP2 NP3 NP4 CC0 VP0 VP1 VP2 VP3 VP4 .0 CANNOTDISTRIBUTE	tickets for a play at the community theater cost 12 dollars for an adult . tickets for a play at the community theater cost 4 dollars for a child .
how many democrats and republicans were there in the senate ? CANNOTDISTRIBUTE	WHADJP0 WHADJP1 NNS0 CC0 NNS0 SQ0 SQ1 SQ2 SQ3 SQ4 .0 CANNOTDISTRIBUTE	how many democrats were there in the senate ? how many republicans were there in the senate ?
how many girls and boys are their on the team ? CANNOTDISTRIBUTE	WRB0 JJ0 NNS0 CC0 NNS0 VP0 VP1 VP2 VP3 VP4 .0 CANNOTDISTRIBUTE	how many girls are their on the team ? how many boys are their on the team ?
lloyd plans on spending 370 dollars on 10 meals and 3 nights in a hotel . CANNOTDISTRIBUTE	JJ0 NNS0 IN0 VBG0 NP0 NP1 IN0 NP0 NP1 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
there are 41 short trees and 44 tall trees currently in the park . CANNOTDISTRIBUTE	NP0 VBP0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 PP0 PP1 PP2 PP3 .0 CANNOTDISTRIBUTE	there are 41 short trees currently in the park . there are 44 tall trees currently in the park .
for monday morning 's staff meeting , jim bought 2 bags of bagels and 3 packages of cream cheese and paid 12 .00 dollars . CANNOTDISTRIBUTE	PP0 PP1 PP2 PP3 PP4 PP5 ,0 NP0 VBD0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 NP4 CC0 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	for monday morning 's staff meeting , jim bought 2 bags of bagels . for monday morning 's staff meeting , jim bought 3 packages of cream cheese . for monday morning 's staff meeting , jim paid 12 .00 dollars .
sara has 31 red and 15 green balloons . CANNOTDISTRIBUTE	NP0 VBZ0 CD0 JJ0 CC0 CD0 JJ0 NNS0 .0 CANNOTDISTRIBUTE	sara has 31 red balloons . sara has 15 green balloons
each adult ticket is 5 dollars and each child ticket is 3 dollars . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 CC0 S0 S1 S2 S3 S4 S5 .0 CANNOTDISTRIBUTE	each adult ticket is 5 dollars . each child ticket is 3 dollars .
